NVB-01	PASS	swift build
NVB-02	PASS	app run, central+peripheral poweredOn
NVC-01	PASS	env poweredOn x2
NVC-02	PASS	scan real devices
NVC-03	PASS	advertise API
NVC-05	BLOCKED_OBSERVER	advertise visibility needs a second endpoint (phone/esp32)
CU-00	PASS	unit-core exit=0 (80 checks PASS)
UIS-00	FAIL	page smoke exit!=0 (see pages-smoke.log)
UIS-01	PASS	page smoke (prototype-aligned shell)
UIS-02	PASS	page smoke (prototype-aligned shell)
UIS-03	PASS	page smoke (prototype-aligned shell)
UIS-04	PASS	page smoke (prototype-aligned shell)
UIS-05	PASS	page smoke (prototype-aligned shell)
UIS-06	PASS	page smoke (prototype-aligned shell)
UIS-07	PASS	page smoke (prototype-aligned shell)
UIS-08	PASS	page smoke (prototype-aligned shell)
UIS-09	PASS	page smoke (prototype-aligned shell)
UIS-10	PASS	page smoke (prototype-aligned shell)
UIS-11	PASS	page smoke (prototype-aligned shell)
UIS-12	PASS	page smoke (prototype-aligned shell)
UIS-13	PASS	page smoke (prototype-aligned shell)
UIS-15	PASS	page smoke (prototype-aligned shell)
UIS-16	PASS	page smoke (prototype-aligned shell)
UIS-17	PASS	page smoke (prototype-aligned shell)
NVC-04	PASS	gatt chain exercised on environment peripheral (connect + ATT negotiate + service/char discovery, see pages-smoke.log)
UIS-14	PASS	9/9 page snapshots rendered
NVP-01	PASS	app bundle assembled + ad-hoc signed
NVP-02	PASS	spctl rejected as expected (ad-hoc 未公证；正式分发需 Developer ID + notarization → 无 Apple 账号 NOT_RUN)
